time,frequency,mechanicalPower,electricalDemand,powerImbalance,gateOpening,waterFlow,der(actuator.y),expectedFrequency,droopResidual
158.9,49.8733309499953,55557347.15174897,55000000.0,1791.596193410456,0.497085320213372,18.30929428700981,-1.051847487443247e-06,49.875,3.249415997826945e-05
159.0,49.87334210349016,55557335.18130074,55000000.0,1779.62574518472,0.4970852157109106,18.30929040591556,-1.044822118823063e-06,49.875,3.227701545294084e-05
159.1,49.87335318209721,55557323.29122015,55000000.0,1767.735664591193,0.4970851119100581,18.30928655087827,-1.037843921136705e-06,49.875,3.206132890179068e-05
159.2,49.87336418632801,55557311.4809572,55000000.0,1755.925401635468,0.4970850088060154,18.30928272171965,-1.03091257019905e-06,49.875,3.184709036596319e-05
159.3,49.8733751166912,55557299.74996529,55000000.0,1744.19440972805,0.4970849063940102,18.30927891826249,-1.024027743712352e-06,49.875,3.163428994318101e-05
159.4,49.87338597369254,55557288.0977006,55000000.0,1732.542145043612,0.4970848046692968,18.3092751403305,-1.017189119600914e-06,49.875,3.142291778735189e-05
159.5,49.87339675783498,55557276.52362252,55000000.0,1720.968066960573,0.4970847036271558,18.30927138774842,-1.010396379230727e-06,49.875,3.121296410721515e-05
159.6,49.87340746961869,55557265.02719329,55000000.0,1709.47163772583,0.4970846032628933,18.30926766034191,-1.003649206410273e-06,49.875,3.100441916550423e-05
159.7,49.87341810954102,55557253.60787814,55000000.0,1698.05232258141,0.4970845035718412,18.30926395793759,-9.969472833937232e-07,49.875,3.079727327990516e-05
159.8,49.87342867809664,55557242.26514505,55000000.0,1686.709589488804,0.4970844045493565,18.30926028036301,-9.902902946556935e-07,49.875,3.059151682045617e-05
159.9,49.87343917577755,55557230.99846494,55000000.0,1675.442909382284,0.4970843061908211,18.30925662744665,-9.836779304439602e-07,49.875,3.038714020888464e-05
160.0,49.87344960307306,55557219.80731145,55000000.0,1664.25175589323,0.4970842084916413,18.30925299901789,-9.77109878230742e-07,49.875,3.018413391957893e-05
160.1,49.87345996046989,55557208.69116124,55000000.0,1653.135605677962,0.4970841114472474,18.30924939490702,-9.7058582804177e-07,49.875,2.998248847730159e-05
160.2,49.87347024845218,55557197.64949322,55000000.0,1642.093937657773,0.4970840150530939,18.30924581494519,-9.641054713460662e-07,49.875,2.978219445727614e-05
160.3,49.87348046750153,55557186.68178938,55000000.0,1631.126233823597,0.4970839193046583,18.30924225896444,-9.576685029433207e-07,49.875,2.958324248365915e-05
160.4,49.87349061809704,55557175.78753433,55000000.0,1620.23197876662,0.4970838241974413,18.30923872679766,-9.512746182993581e-07,49.875,2.938562322962789e-05
160.5,49.87350070071532,55557164.96621507,55000000.0,1609.410659506917,0.4970837297269666,18.30923521827859,-9.449235109926235e-07,49.875,2.918932741717084e-05
160.6,49.87351071583056,55557154.21732123,55000000.0,1598.661765672266,0.4970836358887803,18.3092317332418,-9.386148803747218e-07,49.875,2.899434581474323e-05
160.7,49.87352066391458,55557143.54034504,55000000.0,1587.984789483249,0.4970835426784504,18.30922827152267,-9.323484253531689e-07,49.875,2.880066923768724e-05
160.8,49.87353054543681,55557132.93478128,55000000.0,1577.379225715995,0.4970834500915665,18.3092248329574,-9.261238475000155e-07,49.875,2.860828854711964e-05
160.9,49.87354036086435,55557122.40012702,55000000.0,1566.844571463764,0.4970833581237401,18.30922141738299,-9.199408463889114e-07,49.875,2.841719465019286e-05
161.0,49.87355011066205,55557111.93588179,55000000.0,1556.380326226354,0.4970832667706032,18.3092180246372,-9.137991269225765e-07,49.875,2.822737849747861e-05
161.1,49.87355979529249,55557101.54154748,55000000.0,1545.985991925001,0.4970831760278089,18.30921465455857,-9.076983926714632e-07,49.875,2.803883108426931e-05
161.2,49.87356941521604,55557091.21662835,55000000.0,1535.661072790623,0.4970830858910305,18.30921130698639,-9.016383506477155e-07,49.875,2.78515434481829e-05
161.3,49.87357897089089,55557080.96063101,55000000.0,1525.405075445771,0.4970829963559613,18.30920798176071,-8.956187073083655e-07,49.875,2.766550666986065e-05
161.4,49.87358846277308,55557070.77306416,55000000.0,1515.217508599162,0.4970829074183143,18.3092046787223,-8.896391695545347e-07,49.875,2.748071187167562e-05
161.5,49.87359789131659,55557060.65343875,55000000.0,1505.097883194685,0.497082819073822,18.30920139771264,-8.836994506156159e-07,49.875,2.729715021597325e-05
