time,frequency,mechanicalPower,electricalDemand,powerImbalance,gateOpening,waterFlow,der(actuator.y),expectedFrequency,droopResidual
183.6,50.10030660006213,45454214.27305451,45000000.0,-331.1814909428358,0.4065964641991945,14.97744028179626,1.955685979826427e-07,50.1,-6.000853372246928e-06
183.7,50.10030454226259,45454216.49589227,45000000.0,-328.9586531817913,0.4065964836821525,14.97744100439363,1.942559066936411e-07,50.1,-5.960577625172252e-06
183.8,50.1003024982303,45454218.70384578,45000000.0,-326.7506996765733,0.4065965030346593,14.97744172215264,1.929520270227414e-07,50.1,-5.920571328905163e-06
183.9,50.10030046786806,45454220.89702032,45000000.0,-324.5575251355767,0.4065965222576369,14.9774424351075,1.916568981297218e-07,50.1,-5.880832581238969e-06
184.0,50.10029845107915,45454223.07552072,45000000.0,-322.3790247291327,0.4065965413520036,14.97744314329227,1.903704566208475e-07,50.1,-5.841359489161882e-06
184.1,50.10029644776724,45454225.23945121,45000000.0,-320.2150942385197,0.4065965603186737,14.97744384674084,1.890926408787408e-07,50.1,-5.802150167381198e-06
184.2,50.10029445783639,45454227.38891577,45000000.0,-318.065629683435,0.4065965791585583,14.97744454548702,1.878233892860237e-07,50.1,-5.763202738461211e-06
184.3,50.10029248119109,45454229.52401794,45000000.0,-315.9305275082588,0.4065965978725642,14.97744523956445,1.865626410024745e-07,50.1,-5.724515332909078e-06
184.4,50.10029051773622,45454231.64486091,45000000.0,-313.8096845448017,0.4065966164615954,14.97744592900665,1.85310332412314e-07,50.1,-5.686086089309698e-06
184.5,50.10028856737702,45454233.75154724,45000000.0,-311.70299821347,0.4065966349265522,14.97744661384701,1.840664032304318e-07,50.1,-5.647913153123546e-06
184.6,50.10028663001911,45454235.84417943,45000000.0,-309.6103660240769,0.4065966532683315,14.9774472941188,1.828307928386508e-07,50.1,-5.609994677314208e-06
184.7,50.10028470556849,45454237.92285944,45000000.0,-307.5316860154271,0.406596671487827,14.97744796985518,1.816034393975485e-07,50.1,-5.572328822158433e-06
184.8,50.10028279393148,45454239.98768886,45000000.0,-305.4668565914035,0.4065966895859294,14.97744864108917,1.803842838432601e-07,50.1,-5.53491375446984e-06
184.9,50.10028089557743,45454242.03813134,45000000.0,-303.4164141118526,0.4065967075579512,14.97744930764675,1.791736879974692e-07,50.1,-5.497758648550805e-06
185.0,50.10027901133095,45454244.07324757,45000000.0,-301.3812978863716,0.4065967253956854,14.97744996922321,1.779722795802741e-07,50.1,-5.460879625122841e-06
185.1,50.10027713981863,45454246.09458999,45000000.0,-299.3599554598331,0.4065967431127037,14.97745062632235,1.767790372975142e-07,50.1,-5.424249830233291e-06
185.2,50.10027528095794,45454248.10224774,45000000.0,-297.3522977083921,0.4065967607097878,14.97745127897316,1.75593908413596e-07,50.1,-5.387867648861105e-06
185.3,50.10027343466693,45454250.09630949,45000000.0,-295.3582359626889,0.4065967781877142,14.97745192720443,1.744168403039481e-07,50.1,-5.351731477187208e-06
185.4,50.10027160086425,45454252.07686321,45000000.0,-293.3776822388172,0.4065967955472536,14.97745257104477,1.732477801219545e-07,50.1,-5.315839722905454e-06
185.5,50.10026977946908,45454254.0439962,45000000.0,-291.4105492532253,0.4065968127891719,14.97745321052257,1.72086677130423e-07,50.1,-5.28019080410112e-06
185.6,50.10026797040117,45454255.99779528,45000000.0,-289.456750176847,0.4065968299142299,14.97745384566604,1.709334789268269e-07,50.1,-5.244783150322972e-06
185.7,50.10026617358082,45454257.93834666,45000000.0,-287.5161987915635,0.406596846923183,14.97745447650321,1.697881347739738e-07,50.1,-5.209615201683809e-06
185.8,50.10026438892888,45454259.86573596,45000000.0,-285.5888094976544,0.4065968638167816,14.97745510306191,1.686505941567162e-07,50.1,-5.174685409132813e-06
185.9,50.10026261636676,45454261.78004824,45000000.0,-283.6744972169399,0.406596880595771,14.97745572536979,1.675208065599065e-07,50.1,-5.139992234216156e-06
186.0,50.10026085581636,45454263.68136794,45000000.0,-281.7731775119901,0.4065968972608918,14.9774563434543,1.663987226896424e-07,50.1,-5.105534148878814e-06
186.1,50.10025910720019,45454265.56977904,45000000.0,-279.8847664147615,0.4065969138128794,14.97745695734273,1.652842899213525e-07,50.1,-5.071309636252557e-06
186.2,50.10025737044119,45454267.44536496,45000000.0,-278.0091804936528,0.4065969302524644,14.97745756706218,1.641774625138481e-07,50.1,-5.03731718835311e-06
186.3,50.10025564546291,45454269.30820836,45000000.0,-276.1463370919228,0.4065969465803727,14.97745817263956,1.630781891748256e-07,50.1,-5.003555308683103e-06
186.4,50.10025393218937,45454271.15839159,45000000.0,-274.2961538657546,0.4065969627973253,14.97745877410163,1.619864209434496e-07,50.1,-4.970022510424055e-06
186.5,50.10025223054513,45454272.99599643,45000000.0,-272.4585490226746,0.4065969789040385,14.97745937147494,1.609021077486616e-07,50.1,-4.936717317201821e-06
186.6,50.10025054045521,45454274.8211041,45000000.0,-270.6334413513541,0.4065969949012242,14.97745996478592,1.598252032941616e-07,50.1,-4.903638261501489e-06
186.7,50.10024886184517,45454276.63379521,45000000.0,-268.8207502439618,0.4065970107895892,14.97746055406076,1.587556591742256e-07,50.1,-4.870783886373482e-06
186.8,50.10024719464105,45454278.4341501,45000000.0,-267.0203953534365,0.4065970265698361,14.97746113932554,1.576934273161967e-07,50.1,-4.838152744429582e-06
186.9,50.10024553876936,45454280.22224824,45000000.0,-265.2322972118855,0.406597042242663,14.97746172060614,1.56638461867864e-07,50.1,-4.805743397448721e-06
187.0,50.10024389415715,45454281.99816881,45000000.0,-263.4563766419888,0.4065970578087634,14.97746229792829,1.555907122030575e-07,50.1,-4.773554417902229e-06
187.1,50.1002422607319,45454283.76199051,45000000.0,-261.6925549432635,0.4065970732688264,14.97746287131755,1.545501336908117e-07,50.1,-4.741584386307521e-06
187.2,50.1002406384216,45454285.51379149,45000000.0,-259.9407539591193,0.4065970886235371,14.97746344079932,1.535166778143804e-07,50.1,-4.709831893350089e-06
187.3,50.10023902715464,45454287.25364935,45000000.0,-258.2008960992098,0.4065971038735758,14.97746400639885,1.524903001648426e-07,50.1,-4.678295538006975e-06
187.4,50.10023742685996,45454288.98164142,45000000.0,-256.4729040339589,0.4065971190196186,14.97746456814122,1.514709534466974e-07,50.1,-4.646973929248524e-06
187.5,50.10023583746692,45454290.69784425,45000000.0,-254.7567012012005,0.4065971340623381,14.97746512605136,1.504585905864886e-07,50.1,-4.615865684694416e-06
187.6,50.10023425890528,45454292.40233412,45000000.0,-253.0522113293409,0.4065971490024019,14.97746568015405,1.494531691736967e-07,50.1,-4.58496942994319e-06
187.7,50.10023269110536,45454294.09518684,45000000.0,-251.3593586087227,0.4065971638404739,14.97746623047391,1.484546400254416e-07,50.1,-4.554283801220301e-06
187.8,50.10023113399782,45454295.77647769,45000000.0,-249.6780677586794,0.4065971785772142,14.97746677703542,1.474629596209809e-07,50.1,-4.52380744163719e-06
187.9,50.10022958751381,45454297.44628152,45000000.0,-248.0082639306784,0.4065971932132783,14.9774673198629,1.464780828852597e-07,50.1,-4.493539003659792e-06
188.0,50.10022805158489,45454299.10467276,45000000.0,-246.3498726934195,0.4065972077493183,14.97746785898055,1.454999648542454e-07,50.1,-4.463477148118015e-06
188.1,50.10022652614305,45454300.75172546,45000000.0,-244.7028199955821,0.4065972221859824,14.9774683944124,1.445285605639057e-07,50.1,-4.433620544212671e-06
188.2,50.1002250111207,45454302.38751297,45000000.0,-243.0670324787498,0.4065972365239147,14.97746892618234,1.435638266045203e-07,50.1,-4.403967869117363e-06
188.3,50.10022350645065,45454304.01210852,45000000.0,-241.4424369335175,0.4065972507637556,14.97746945431414,1.426057190112573e-07,50.1,-4.374517808045271e-06
188.4,50.10022201206617,45454305.62558477,45000000.0,-239.8289606869221,0.406597264906142,14.97746997883141,1.416541928200843e-07,50.1,-4.345269054947375e-06
188.5,50.10022052790089,45454307.22801392,45000000.0,-238.226531535387,0.4065972789517069,14.97747049975763,1.407092037331026e-07,50.1,-4.31622031126476e-06
188.6,50.10021905388881,45454308.81946795,45000000.0,-236.6350775063038,0.4065972929010797,14.97747101711617,1.397707118933056e-07,50.1,-4.287370285450259e-06
188.7,50.10021758996441,45454310.40001832,45000000.0,-235.0545271337032,0.4065973067548864,14.97747153093025,1.388386695611032e-07,50.1,-4.258717695428734e-06
188.8,50.10021613606249,45454311.96973592,45000000.0,-233.4848095327616,0.4065973205137494,14.97747204122292,1.379130362133552e-07,50.1,-4.230261265130656e-06
188.9,50.10021469211825,45454313.52869147,45000000.0,-231.9258539825678,0.4065973341782876,14.97747254801718,1.369937679962518e-07,50.1,-4.201999726824879e-06
189.0,50.10021325806728,45454315.07695531,45000000.0,-230.3775901421905,0.4065973477491165,14.97747305133585,1.360808222772292e-07,50.1,-4.173931819860099e-06
189.1,50.10021183384551,45454316.61459723,45000000.0,-228.8399482220411,0.4065973612268483,14.97747355120162,1.35174158644169e-07,50.1,-4.146056290628419e-06
189.2,50.10021041938928,45454318.14168684,45000000.0,-227.3128586113453,0.4065973746120919,14.97747404763711,1.34273731799972e-07,50.1,-4.118371893542007e-06
189.3,50.10020901463528,45454319.65829328,45000000.0,-225.796252168715,0.4065973879054529,14.97747454066478,1.333794998892301e-07,50.1,-4.090877389652248e-06
189.4,50.10020761952049,45454321.16448522,45000000.0,-224.2900602370501,0.4065974011075336,14.97747503030696,1.324914248312936e-07,50.1,-4.063571545931573e-06
189.5,50.10020623398236,45454322.66033112,45000000.0,-222.7942143306136,0.4065974142189335,14.9774755165859,1.316094598857731e-07,50.1,-4.036453138370807e-06
189.6,50.1002048579586,45454324.14589912,45000000.0,-221.3086463287473,0.4065974272402487,14.9774759995237,1.307335655287289e-07,50.1,-4.009520948087316e-06
189.7,50.10020349138728,45454325.62125689,45000000.0,-219.8332885652781,0.4065974401720724,14.97747647914238,1.298637007929315e-07,50.1,-3.982773763251853e-06
189.8,50.1002021342068,45454327.08647183,45000000.0,-218.3680736273527,0.4065974530149945,14.97747695546383,1.289998237119505e-07,50.1,-3.956210378910311e-06
189.9,50.1002007863559,45454328.54161098,45000000.0,-216.912934474647,0.4065974657696025,14.97747742850983,1.281418944287793e-07,50.1,-3.929829595920344e-06
190.0,50.10019944777364,45454329.98674113,45000000.0,-215.4678043276072,0.4065974784364808,14.97747789830208,1.272898705328984e-07,50.1,-3.903630222291e-06
190.1,50.10019811839941,45454331.42192861,45000000.0,-214.0326168462634,0.4065974910162106,14.97747836486213,1.26443710612989e-07,50.1,-3.877611071964084e-06
190.2,50.10019679817288,45454332.84723951,45000000.0,-212.6073059439659,0.4065975035093709,14.97747882821145,1.256033763663567e-07,50.1,-3.851770964465907e-06
190.3,50.10019548703407,45454334.26273962,45000000.0,-211.191805832088,0.4065975159165375,14.97747928837142,1.247688252714596e-07,50.1,-3.826108726311117e-06
190.4,50.10019418492326,45454335.66849443,45000000.0,-209.7860510200262,0.4065975282382839,14.97747974536331,1.239400189145812e-07,50.1,-3.80062318901123e-06
190.5,50.10019289178108,45454337.06456911,45000000.0,-208.3899763450027,0.4065975404751807,14.9774801992083,1.231169144411126e-07,50.1,-3.775313190910838e-06
190.6,50.1001916075484,45454338.45102858,45000000.0,-207.0035168752074,0.406597552627796,14.97748064992745,1.222994732152927e-07,50.1,-3.750177575240383e-06
190.7,50.10019033216639,45454339.82793737,45000000.0,-205.626608081162,0.4065975646966956,14.97748109754177,1.214876552690924e-07,50.1,-3.725215191032524e-06
190.8,50.10018906557652,45454341.1953598,45000000.0,-204.2591856494546,0.4065975766824424,14.97748154207213,1.206814215226615e-07,50.1,-3.700424892928277e-06
190.9,50.10018780772053,45454342.55335995,45000000.0,-202.9011855050921,0.4065975885855974,14.97748198353934,1.198807308977479e-07,50.1,-3.675805541149268e-06
191.0,50.10018655854041,45454343.90200162,45000000.0,-201.5525438338518,0.4065976004067187,14.97748242196413,1.190855444255234e-07,50.1,-3.651356000935677e-06
191.1,50.10018531797845,45454345.24134825,45000000.0,-200.2131972014904,0.4065976121463625,14.97748285736712,1.182958225820485e-07,50.1,-3.627075142915732e-06
191.2,50.10018408597717,45454346.57146319,45000000.0,-198.8830822631717,0.4065976238050827,14.97748328976886,1.175115255103165e-07,50.1,-3.602961842802573e-06
191.3,50.10018286247936,45454347.89240936,45000000.0,-197.5621360912919,0.4065976353834309,14.97748371918983,1.167326135753655e-07,50.1,-3.579014981256335e-06
191.4,50.10018164742804,45454349.20424958,45000000.0,-196.2502958700061,0.4065976468819563,14.97748414565039,1.15959048474501e-07,50.1,-3.555233443726293e-06
191.5,50.10018044076651,45454350.50704642,45000000.0,-194.9474990293384,0.4065976583012064,14.97748456917088,1.151907900176496e-07,50.1,-3.531616120679842e-06
191.6,50.10017924243827,45454351.80086209,45000000.0,-193.6536833643913,0.4065976696417266,14.9774849897715,1.144278011233624e-07,50.1,-3.508161906701744e-06
191.7,50.10017805238705,45454353.0857587,45000000.0,-192.368786752224,0.40659768090406,14.97748540747244,1.136700421566772e-07,50.1,-3.484869701462102e-06
191.8,50.10017687055688,45454354.36179809,45000000.0,-191.0927473679185,0.406597692088748,14.97748582229377,1.129174723724091e-07,50.1,-3.461738409628757e-06
191.9,50.10017569689191,45454355.62904189,45000000.0,-189.825503565371,0.4065977031963303,14.97748623425552,1.121700552442206e-07,50.1,-3.438766938780417e-06
192.0,50.10017453133657,45454356.88755154,45000000.0,-188.5669939145446,0.4065977142273444,14.97748664337763,1.11427751581239e-07,50.1,-3.41595420181532e-06
192.1,50.1001733738355,45454358.13738821,45000000.0,-187.3171572461724,0.4065977251823259,14.97748704967998,1.106905226366806e-07,50.1,-3.393299115643251e-06
192.2,50.10017222433353,45454359.37861298,45000000.0,-186.0759324729443,0.4065977360618093,14.9774874531824,1.099583285535388e-07,50.1,-3.370800601272279e-06
192.3,50.10017108277567,45454360.61128676,45000000.0,-184.8432586938143,0.4065977468663267,14.97748785390464,1.092311336936547e-07,50.1,-3.348457583034203e-06
192.4,50.1001699491072,45454361.83547004,45000000.0,-183.6190754175186,0.4065977575964091,14.97748825186639,1.085088968677539e-07,50.1,-3.326268990082922e-06
