time,frequency,mechanicalPower,electricalDemand,powerImbalance,gateOpening,waterFlow,der(actuator.y)
166.1,49.99898042102961,55556639.62589023,55000000.0,1084.070334672928,0.4970791464629055,18.30906496397279,-6.290645235829118e-07
166.2,49.99898717226799,55556632.4481691,55000000.0,1076.89261354506,0.4970790837820783,18.3090626363229,-6.24900139856166e-07
166.3,49.99899387884725,55556625.31793377,55000000.0,1069.762378208339,0.4970790215159221,18.30906032407188,-6.207633249655231e-07
166.4,49.99900054107048,55556618.23486058,55000000.0,1062.679305016994,0.4970789596616122,18.30905802711484,-6.166538856211545e-07
166.5,49.99900715923923,55556611.19862767,55000000.0,1055.643072105944,0.4970788982163379,18.3090557453474,-6.125716344174137e-07
166.6,49.99901373365347,55556604.20891447,55000000.0,1048.653358913958,0.4970788371773026,18.30905347866567,-6.085163825053641e-07
166.7,49.99902026461163,55556597.26540225,55000000.0,1041.709846690297,0.4970787765417229,18.30905122696629,-6.044879405919801e-07
166.8,49.99902675241062,55556590.36777359,55000000.0,1034.812218032777,0.4970787163068292,18.30904899014638,-6.004861203834366e-07
166.9,49.99903319734591,55556583.51571271,55000000.0,1027.96015714854,0.497078656469865,18.30904676810356,-5.965107374716894e-07
167.0,49.99903959971142,55556576.70890523,55000000.0,1021.153349675238,0.4970785970280868,18.30904456073593,-5.925616028967795e-07
167.1,49.99904595979969,55556569.94703832,55000000.0,1014.391482755542,0.4970785379787634,18.30904236794206,-5.886385328057742e-07
167.2,49.99905227790182,55556563.22980041,55000000.0,1007.674244850874,0.497078479319177,18.30904018962098,-5.847413412363167e-07
167.3,49.99905855430751,55556556.55688143,55000000.0,1001.00132586807,0.4970784210466214,18.30903802567219,-5.808698448905858e-07
167.4,49.99906478930507,55556549.92797276,55000000.0,994.3724171966314,0.4970783631584029,18.30903587599563,-5.770238598046262e-07
167.5,49.99907098318149,55556543.34276707,55000000.0,987.7872115075588,0.4970783056518392,18.30903374049168,-5.732032031247059e-07
167.6,49.99907713622238,55556536.8009583,55000000.0,981.245402738452,0.4970782485242604,18.30903161906116,-5.694076915530033e-07
167.7,49.99908324847992,55556530.30252088,55000000.0,974.7469653189182,0.4970781917754187,18.30902951169516,-5.656373728291086e-07
167.8,49.9990893186747,55556523.8490307,55000000.0,968.2934751436114,0.4970781354188947,18.30902741890029,-5.618936006479558e-07
167.9,49.99909534865398,55556517.43830275,55000000.0,961.8827471882105,0.4970780794357919,18.30902533997251,-5.581746558291911e-07
168.0,49.99910133868534,55556511.07005148,55000000.0,955.5144959241152,0.4970780238236194,18.30902327481927,-5.544803708401602e-07
168.1,49.99910728903474,55556504.74399333,55000000.0,949.1884377747774,0.4970779685799002,18.30902122334861,-5.508105784812756e-07
168.2,49.99911319996656,55556498.4598463,55000000.0,942.9042907357216,0.4970779137021724,18.3090191854691,-5.471651141064626e-07
168.3,49.99911907174356,55556492.21732983,55000000.0,936.6617742702365,0.4970778591879882,18.3090171610898,-5.435438114043123e-07
168.4,49.999124904627,55556486.01616529,55000000.0,930.4606097340584,0.4970778050349141,18.30901515012036,-5.399465069499954e-07
168.5,49.99913069887656,55556479.85607547,55000000.0,924.300519913435,0.4970777512405304,18.3090131524709,-5.363730377627718e-07
168.6,49.99913645475038,55556473.73678469,55000000.0,918.1812291294336,0.4970776978024315,18.30901116805206,-5.328232419721246e-07
168.7,49.99914217250515,55556467.65801901,55000000.0,912.1024634465575,0.4970776447182253,18.30900919677503,-5.29296958151626e-07
168.8,49.99914785239597,55556461.61950584,55000000.0,906.0639502778649,0.4970775919855333,18.30900723855144,-5.25794023320536e-07
168.9,49.99915349467656,55556455.62097424,55000000.0,900.0654186755419,0.4970775396019904,18.30900529329346,-5.223142796051405e-07
169.0,49.99915909959916,55556449.6621548,55000000.0,894.1065992414951,0.4970774875652445,18.30900336091374,-5.188575684655916e-07
169.1,49.99916466741452,55556443.74277949,55000000.0,888.1872239261866,0.4970774358729567,18.30900144132539,-5.154237284754615e-07
169.2,49.99917019837204,55556437.86258186,55000000.0,882.3070263043046,0.4970773845228009,18.30899953444204,-5.120126056468166e-07
169.3,49.99917569271969,55556432.02129681,55000000.0,876.4657412543893,0.4970773335124638,18.30899764017774,-5.086240423279875e-07
169.4,49.99918115070401,55556426.21866067,55000000.0,870.6631051152945,0.4970772828396445,18.30899575844705,-5.052578807562824e-07
169.5,49.99918657257022,55556420.45441131,55000000.0,864.898855753243,0.4970772325020544,18.30899388916496,-5.019139653894555e-07
169.6,49.99919195856219,55556414.72828791,55000000.0,859.1727323532104,0.4970771824974172,18.30899203224693,-4.985921433497964e-07
169.7,49.99919730892243,55556409.04003096,55000000.0,853.4844754040241,0.4970771328234687,18.30899018760886,-4.952922605383492e-07
169.8,49.99920262389215,55556403.38938241,55000000.0,847.833826854825,0.4970770834779564,18.30898835516707,-4.920141626341135e-07
169.9,49.99920790371125,55556397.77608536,55000000.0,842.2205298021436,0.4970770344586399,18.30898653483834,-4.887576977585795e-07
170.0,49.99921314861835,55556392.19988462,55000000.0,836.6443290561438,0.4970769857632897,18.30898472653989,-4.855227132560813e-07
170.1,49.99921835885081,55556386.66052582,55000000.0,831.1049702614546,0.4970769373896881,18.30898293018932,-4.823090579142431e-07
170.2,49.99922353464476,55556381.1577562,55000000.0,825.6022006422281,0.4970768893356285,18.30898114570468,-4.791165826301125e-07
170.3,49.99922867623505,55556375.69132418,55000000.0,820.13576862216,0.4970768415989155,18.30897937300442,-4.759451357472244e-07
170.4,49.99923378385536,55556370.26097929,55000000.0,814.7054237350821,0.4970767941773644,18.30897761200738,-4.727945678295598e-07
170.5,49.99923885773818,55556364.8664725,55000000.0,809.3109169378877,0.4970767470688013,18.30897586263282,-4.696647323276792e-07
170.6,49.99924389811479,55556359.50755578,55000000.0,803.9520002231002,0.4970767002710627,18.30897412480037,-4.665554781402292e-07
170.7,49.99924890521534,55556354.18398243,55000000.0,798.6284268721938,0.4970766537819957,18.30897239843007,-4.634666596059489e-07
170.8,49.9992538792688,55556348.89550685,55000000.0,793.3399512916803,0.4970766075994574,18.30897068344231,-4.603981277329083e-07
170.9,49.99925882050307,55556343.64188463,55000000.0,788.0863290727139,0.4970765617213152,18.30896897975788,-4.57349738081092e-07
171.0,49.99926372914491,55556338.42287239,55000000.0,782.867316827178,0.4970765161454463,18.30896728729791,-4.543213454333284e-07
171.1,49.99926860541996,55556333.23822794,55000000.0,777.6826723814011,0.4970764708697376,18.30896560598392,-4.513128017968882e-07
171.2,49.99927344955286,55556328.08771019,55000000.0,772.5321546345949,0.4970764258920854,18.30896393573776,-4.483239636199343e-07
171.3,49.99927826176713,55556322.97107905,55000000.0,767.4155234917998,0.4970763812103957,18.30896227648164,-4.453546865734737e-07
171.4,49.99928304151215,55556317.88909747,55000000.0,762.3335419148207,0.4970763368311762,18.30896062845916,-4.424057858942732e-07
171.5,49.99928778886381,55556312.84171613,55000000.0,757.2861605733633,0.4970762927539696,18.30895899165369,-4.394773008842279e-07
171.6,49.99929250477383,55556307.82775053,55000000.0,752.2721949666739,0.4970762489685814,18.30895736568477,-4.365681786078213e-07
171.7,49.99929718945119,55556302.84697825,55000000.0,747.2914226874709,0.4970762054730705,18.30895575048029,-4.336782900571379e-07
171.8,49.99930184310364,55556297.89917841,55000000.0,742.3436228483915,0.4970761622655071,18.30895414596862,-4.308075078895968e-07
171.9,49.99930646593757,55556292.9841314,55000000.0,737.4285758435726,0.4970761193439743,18.30895255207856,-4.279557035413717e-07
172.0,49.9993110581582,55556288.10161901,55000000.0,732.5460634455085,0.4970760767065664,18.30895096873934,-4.251227515572609e-07
172.1,49.99931561996943,55556283.25142442,55000000.0,727.6958688646555,0.4970760343513897,18.30894939588063,-4.223085254828618e-07
172.2,49.99932015157393,55556278.43333209,55000000.0,722.8777765259147,0.4970759922765622,18.30894783343255,-4.195128977535489e-07
172.3,49.9993246531732,55556273.64712773,55000000.0,718.0915721654892,0.4970759504802134,18.30894628132564,-4.167357462447896e-07
172.4,49.99932912496752,55556268.89259853,55000000.0,713.3370429724455,0.4970759089604841,18.30894473949085,-4.139769483879618e-07
172.5,49.99933356715594,55556264.1695329,55000000.0,708.613977342844,0.4970758677155265,18.30894320785957,-4.112363793939977e-07
172.6,49.99933797993634,55556259.47772054,55000000.0,703.9221649765968,0.497075826743504,18.3089416863636,-4.085139178044983e-07
172.7,49.99934236350546,55556254.81695235,55000000.0,699.2613967880607,0.4970757860425909,18.30894017493513,-4.058094438263993e-07
172.8,49.99934671805887,55556250.18702053,55000000.0,694.6314649656415,0.4970757456109725,18.30893867350678,-4.031228353351679e-07
172.9,49.99935104379096,55556245.58771858,55000000.0,690.0321630239487,0.497075705446845,18.30893718201158,-4.004539717605837e-07
173.0,49.99935534089509,55556241.0188411,55000000.0,685.4632855430245,0.4970756655484154,18.30893570038293,-3.978027386386529e-07
173.1,49.99935960956339,55556236.48018404,55000000.0,680.9246284812689,0.4970756259139007,18.30893422855463,-3.951690124015528e-07
173.2,49.999363849987,55556231.97154446,55000000.0,676.4159888997674,0.4970755865415292,18.30893276646088,-3.925526811388025e-07
173.3,49.99936806235586,55556227.49272066,55000000.0,671.9371651038527,0.497075547429539,18.30893131403626,-3.899536241691592e-07
173.4,49.99937224685892,55556223.04351202,55000000.0,667.4879564642906,0.4970755085761784,18.30892987121573,-3.87371727694763e-07
173.5,49.99937640368403,55556218.62371933,55000000.0,663.068163767457,0.4970754699797061,18.30892843793463,-3.84806876141397e-07
173.6,49.99938053301802,55556214.23314413,55000000.0,658.6775885745883,0.4970754316383907,18.30892701412865,-3.822589559332457e-07
173.7,49.99938463504665,55556209.87158946,55000000.0,654.3160338997841,0.4970753935505105,18.30892559973388,-3.797278526063153e-07
173.8,49.99938870995466,55556205.53885926,55000000.0,649.9833037033677,0.4970753557143537,18.30892419468674,-3.772134525847903e-07
173.9,49.99939275792583,55556201.23475872,55000000.0,645.6792031601071,0.4970753181282182,18.30892279892404,-3.747156459565915e-07
174.0,49.99939677914287,55556196.95909397,55000000.0,641.4035384133458,0.4970752807904112,18.30892141238292,-3.722343184797694e-07
174.1,49.99940077378758,55556192.71167239,55000000.0,637.1561168283224,0.4970752436992495,18.30892003500087,-3.697693615745123e-07
174.2,49.99940474204075,55556188.49230222,55000000.0,632.9367466643453,0.4970752068530592,18.30891866671574,-3.673206643295401e-07
174.3,49.99940868408221,55556184.30079294,55000000.0,628.7452373802662,0.4970751702501753,18.30891730746572,-3.648881171658402e-07
174.4,49.99941260009089,55556180.13695508,55000000.0,624.5813995227218,0.497075133888942,18.30891595718931,-3.62471612280757e-07
174.5,49.99941649024474,55556176.00060003,55000000.0,620.445044465363,0.4970750977677126,18.30891461582538,-3.600710408724339e-07
174.6,49.99942035472083,55556171.89154026,55000000.0,616.3359846994281,0.497075061884849,18.3089132833131,-3.576862958043492e-07
174.7,49.99942419369528,55556167.80958928,55000000.0,612.2540337219834,0.497075026238722,18.30891195959197,-3.553172694958917e-07
174.8,49.9994280073434,55556163.75456161,55000000.0,608.1990060508251,0.4970749908277105,18.30891064460182,-3.529638573640526e-07
174.9,49.99943179583955,55556159.72627263,55000000.0,604.1707170680165,0.4970749556502023,18.30890933828276,-3.506259531604883e-07
175.0,49.99943555935726,55556155.72453884,55000000.0,600.1689832806587,0.4970749207045935,18.30890804057527,-3.483034521911677e-07
175.1,49.99943929674161,55556151.75045925,55000000.0,596.1949036866426,0.4970748860005857,18.3089067518383,-3.459967358176996e-07
175.2,49.99944300913182,55556147.80291817,55000000.0,592.2473626062274,0.4970748515283595,18.30890547170816,-3.437053488486441e-07
175.3,49.99944669687566,55556143.88156427,55000000.0,588.3260087072849,0.4970748172848304,18.30890420007052,-3.414291204206776e-07
175.4,49.99945036013318,55556139.98622727,55000000.0,584.4306717067957,0.4970747832685135,18.30890293687021,-3.391679543884862e-07
175.5,49.99945399906328,55556136.11673848,55000000.0,580.561182923615,0.497074749477934,18.30890168205249,-3.369217517201761e-07
175.6,49.99945761382379,55556132.27293014,55000000.0,576.7173745781183,0.4970747159116271,18.30890043556296,-3.346904150491881e-07
175.7,49.99946120457144,55556128.45463569,55000000.0,572.8990801274776,0.4970746825681387,18.30889919734761,-3.32473848563275e-07
175.8,49.99946477146192,55556124.66168977,55000000.0,569.1061342060566,0.4970746494460248,18.30889796735282,-3.302719585596137e-07
175.9,49.9994683146498,55556120.89392813,55000000.0,565.3383725732565,0.4970746165438508,18.30889674552533,-3.280846464503995e-07
176.0,49.99947183428861,55556117.15118778,55000000.0,561.5956322178245,0.4970745838601925,18.30889553181225,-3.259118197540545e-07
176.1,49.99947533053084,55556113.43330673,55000000.0,557.8777511715889,0.4970745513936357,18.30889432616106,-3.237533829913986e-07
176.2,49.99947880352798,55556109.74012411,55000000.0,554.1845685467124,0.4970745191427755,18.30889312851959,-3.216092469005005e-07
176.3,49.9994822534304,55556106.07148019,55000000.0,550.5159246325493,0.4970744871062172,18.30889193883606,-3.194793162242249e-07
176.4,49.99948568038752,55556102.42721642,55000000.0,546.8716608583927,0.4970744552825753,18.30889075705901,-3.173634999242836e-07
176.5,49.99948908454773,55556098.80717527,55000000.0,543.2516197115183,0.497074423670474,18.30888958313736,-3.152617088497678e-07
176.6,49.9994924660584,55556095.2112003,55000000.0,539.655644737184,0.4970743922685469,18.30888841702038,-3.131738495198988e-07
176.7,49.99949582506594,55556091.63913608,55000000.0,536.0835805162787,0.4970743610754372,18.30888725865767,-3.110998358923922e-07
176.8,49.99949916171573,55556088.09082833,55000000.0,532.53527276963,0.4970743300897971,18.30888610799919,-3.090395767069154e-07
176.9,49.99950247615223,55556084.56612381,55000000.0,529.0105682462454,0.4970742993102878,18.30888496499523,-3.069929845889163e-07
177.0,49.99950576851889,55556081.06487035,55000000.0,525.5093147903681,0.4970742687355799,18.30888382959643,-3.049599716087315e-07
177.1,49.99950903895822,55556077.58691669,55000000.0,522.0313611328602,0.4970742383643532,18.30888270175375,-3.02940450502831e-07
177.2,49.99951228761179,55556074.13211281,55000000.0,518.5765572488308,0.4970742081952959,18.3088815814185,-3.009343351179083e-07
177.3,49.99951551462022,55556070.70030944,55000000.0,515.1447538807988,0.4970741782271055,18.30888046854231,-2.989415410770135e-07
177.4,49.99951872012318,55556067.29135854,55000000.0,511.7358029782772,0.4970741484584881,18.30887936307713,-2.9696197934026e-07
177.5,49.9995219042595,55556063.90511293,55000000.0,508.3495573699474,0.4970741188881585,18.30887826497525,-2.949955700826123e-07
177.6,49.999525067167,55556060.54142653,55000000.0,504.9858709722757,0.4970740895148401,18.30887717418925,-2.930422269287192e-07
177.7,49.99952820898265,55556057.20015411,55000000.0,501.6445985510945,0.4970740603372649,18.30887609067207,-2.911018666118537e-07
177.8,49.99953132984255,55556053.88115151,55000000.0,498.3255959525704,0.4970740313541729,18.30887501437691,-2.891744079747127e-07
177.9,49.99953442988187,55556050.5842755,55000000.0,495.0287199392915,0.4970740025643133,18.30887394525733,-2.872597677505695e-07
178.0,49.99953750923491,55556047.30938369,55000000.0,491.7538281306624,0.4970739739664428,18.30887288326715,-2.853578632278087e-07
178.1,49.99954056803514,55556044.05633482,55000000.0,488.5007792636752,0.4970739455593266,18.30887182836055,-2.834686156916177e-07
178.2,49.99954360641515,55556040.82498852,55000000.0,485.2694329619408,0.4970739173417379,18.30887078049198,-2.815919444287829e-07
178.3,49.99954662450669,55556037.61520521,55000000.0,482.0596496462822,0.4970738893124579,18.30886973961616,-2.797277676158672e-07
178.4,49.99954962244068,55556034.42684623,55000000.0,478.8712906688452,0.497073861470276,18.30886870568815,-2.778760092025934e-07
178.5,49.99955260034719,55556031.25977405,55000000.0,475.7042184919119,0.4970738338139892,18.3088676786633,-2.76036588253703e-07
178.6,49.9995555583555,55556028.11385168,55000000.0,472.5582961216569,0.4970738063424022,18.3088666584972,-2.742094279417628e-07
178.7,49.99955849659407,55556024.9889434,55000000.0,469.433387838304,0.4970737790543274,18.30886564514579,-2.72394450884228e-07
178.8,49.99956141519055,55556021.884914,55000000.0,466.3293584361672,0.4970737519485851,18.30886463856524,-2.705915791434421e-07
178.9,49.99956431427181,55556018.80162939,55000000.0,463.2460738345981,0.4970737250240028,18.30886363871203,-2.688007371132173e-07
179.0,49.99956719396391,55556015.73895616,55000000.0,460.1834006011486,0.4970736982794155,18.30886264554291,-2.67021847188964e-07
179.1,49.99957005439222,55556012.69676192,55000000.0,457.1412063613534,0.4970736717136655,18.30886165901489,-2.652548370951635e-07
179.2,49.99957289568125,55556009.6749149,55000000.0,454.119359344244,0.4970736453256025,18.30886067908526,-2.634996305594939e-07
179.3,49.99957571795478,55556006.6732844,55000000.0,451.1177288368344,0.4970736191140833,18.30885970571158,-2.617561509765665e-07
179.4,49.99957852133592,55556003.6917403,55000000.0,448.1361847445369,0.4970735930779718,18.30885873885167,-2.600243299566429e-07
179.5,49.99958130594694,55556000.73015348,55000000.0,445.1745979189873,0.4970735672161389,18.30885777846362,-2.583040902282008e-07
179.6,49.99958407190943,55555997.7883954,55000000.0,442.2328398376703,0.4970735415274625,18.30885682450575,-2.565953594046988e-07
179.7,49.99958681934429,55555994.86633848,55000000.0,439.3107829242945,0.4970735160108271,18.30885587693665,-2.548980665428857e-07
179.8,49.99958954837164,55555991.9638559,55000000.0,436.4083003401756,0.4970734906651244,18.30885493571518,-2.532121377019081e-07
179.9,49.99959225911101,55555989.08082155,55000000.0,433.5252659916878,0.4970734654892521,18.30885400080042,-2.515375062683844e-07
180.0,49.99959495168112,55555986.2171101,55000000.0,430.6615545451641,0.4970734404821153,18.30885307215172,-2.498740960810153e-07
180.1,49.99959762620009,55555983.37259696,55000000.0,427.8170414045453,0.497073415642625,18.30885214972864,-2.482218398602853e-07
180.2,49.99960028278534,55555980.54715832,55000000.0,424.9916027635336,0.4970733909696988,18.308851233491,-2.46580667662144e-07
180.3,49.99960292155365,55555977.74067108,55000000.0,422.1851155236363,0.4970733664622607,18.30885032339888,-2.449505104307192e-07
180.4,49.9996055426211,55555974.95301275,55000000.0,419.397457189858,0.497073342119241,18.30884941941252,-2.433312981109381e-07
180.5,49.99960814610318,55555972.18406166,55000000.0,416.6285061016679,0.497073317939576,18.30884852149247,-2.417229632012408e-07
180.6,49.99961073211471,55555969.43369687,55000000.0,413.8781413063407,0.4970732939222083,18.30884762959946,-2.401254375339335e-07
180.7,49.99961330076992,55555966.7017981,55000000.0,411.146242544055,0.4970732700660863,18.30884674369445,-2.385386543846124e-07
180.8,49.99961585218239,55555963.98824573,55000000.0,408.4326901659369,0.4970732463701644,18.30884586373864,-2.369625470288739e-07
180.9,49.99961838646509,55555961.29292069,55000000.0,405.7373651266098,0.4970732228334027,18.3088449896934,-2.353970464108457e-07
181.0,49.99962090373042,55555958.61570485,55000000.0,403.0601492896676,0.4970731994547674,18.30884412152038,-2.338420882486147e-07
181.1,49.99962340409021,55555955.9564805,55000000.0,400.4009249433875,0.4970731762332302,18.30884325918139,-2.322976092594686e-07
181.2,49.99962588765562,55555953.31513064,55000000.0,397.7595750838518,0.4970731531677683,18.30884240263847,-2.307635389442453e-07
181.3,49.99962835453736,55555950.69153893,55000000.0,395.1359833702445,0.4970731302573644,18.30884155185385,-2.292398177949906e-07
181.4,49.99963080484547,55555948.08558968,55000000.0,392.5300341174006,0.4970731075010066,18.30884070678998,-2.277263762007209e-07
181.5,49.99963323868955,55555945.49716771,55000000.0,389.9416121542454,0.4970730848976886,18.30883986740949,-2.262231550975713e-07
181.6,49.99963565617854,55555942.92615848,55000000.0,387.3706029206514,0.497073062446409,18.30883903367522,-2.24730087761138e-07
181.7,49.99963805742095,55555940.3724482,55000000.0,384.8168926388025,0.4970730401461718,18.3088382055502,-2.232471129071101e-07
181.8,49.99964044252467,55555937.83592341,55000000.0,382.2803678512573,0.4970730179959859,18.30883738299763,-2.217741655874406e-07
181.9,49.99964281159718,55555935.31647132,55000000.0,379.7609157562256,0.4970729959948654,18.30883656598092,-2.203111858500861e-07
182.0,49.99964516474537,55555932.81397984,55000000.0,377.258424282074,0.4970729741418292,18.30883575446366,-2.188581103013121e-07
182.1,49.99964750207567,55555930.3283373,55000000.0,374.7727817371488,0.4970729524359012,18.30883494840961,-2.174148776568074e-07
182.2,49.999649823694,55555927.85943248,55000000.0,372.3038769215345,0.4970729308761097,18.3088341477827,-2.159814249669267e-07
182.3,49.99965212970586,55555925.40715499,55000000.0,369.851599432528,0.4970729094614879,18.30883335254707,-2.145576954992734e-07
182.4,49.99965442024551,55555922.97106983,55000000.0,367.4155142679811,0.4970728881885002,18.30883256256809,-2.131428095131227e-07
182.5,49.9996566954089,55555920.55116244,55000000.0,364.9956068843603,0.4970728670569409,18.30883177783913,-2.117369467535823e-07
182.6,49.99965895528287,55555918.14751557,55000000.0,362.5919600054622,0.4970728460673752,18.30883099838315,-2.103405286613125e-07
182.7,49.99966119997118,55555915.76001927,55000000.0,360.2044637128711,0.4970728252188427,18.30883022416449,-2.089534932858683e-07
182.8,49.99966342957715,55555913.38856397,55000000.0,357.8330084085464,0.4970728045103872,18.30882945514764,-2.075757756792029e-07
182.9,49.99966564420373,55555911.03304086,55000000.0,355.4774852991104,0.4970727839410563,18.30882869129725,-2.062073146680277e-07
183.0,49.9996678439534,55555908.69334117,55000000.0,353.1377856135368,0.4970727635099014,18.30882793257809,-2.048480465255409e-07
183.1,49.99967002892829,55555906.36935686,55000000.0,350.8138013035059,0.497072743215978,18.30882717895509,-2.034979110776547e-07
183.2,49.99967219923012,55555904.06098015,55000000.0,348.5054245889187,0.4970727230583448,18.3088264303933,-2.021568471510804e-07
183.3,49.99967435496023,55555901.76810376,55000000.0,346.2125482037663,0.4970727030360642,18.3088256868579,-2.008247929063955e-07
183.4,49.99967649621955,55555899.49062067,55000000.0,343.935065113008,0.4970726831482025,18.30882494831423,-1.995016847278208e-07
183.5,49.99967862310871,55555897.22842455,55000000.0,341.672868989408,0.4970726633938288,18.30882421472773,-1.981874643286474e-07
183.6,49.99968073572794,55555894.98140907,55000000.0,339.4258535057306,0.4970726437720157,18.30882348606395,-1.968820698694529e-07
183.7,49.99968283417713,55555892.7494685,55000000.0,337.1939129382372,0.4970726242818395,18.3088227622886,-1.955854417312608e-07
183.8,49.99968491855584,55555890.53249736,55000000.0,334.9769418016076,0.497072604922379,18.30882204336748,-1.942975184077156e-07
183.9,49.99968698896333,55555888.33039083,55000000.0,332.7748352661729,0.4970725856927164,18.30882132926651,-1.930182409459746e-07
184.0,49.99968904549849,55555886.14304391,55000000.0,330.5874883532524,0.4970725665919368,18.30882061995172,-1.917475493939946e-07
184.1,49.99969108825992,55555883.97035225,55000000.0,328.4147966951132,0.4970725476191283,18.30881991538924,-1.904853829115538e-07
184.2,49.99969311734593,55555881.81221192,55000000.0,326.2566563561559,0.4970725287733815,18.30881921554532,-1.892316825458096e-07
184.3,49.99969513285453,55555879.6685191,55000000.0,324.1129635423422,0.4970725100537902,18.30881852038631,-1.879863888998301e-07
184.4,49.99969713488349,55555877.53917021,55000000.0,321.9836146458983,0.4970724914594503,18.30881782987862,-1.867494441309958e-07
184.5,49.99969912353022,55555875.4240622,55000000.0,319.8685066401958,0.4970724729894608,18.30881714398882,-1.855207867329511e-07
184.6,49.99970109889195,55555873.32309216,55000000.0,317.7675366029143,0.4970724546429225,18.30881646268352,-1.843003597512549e-07
184.7,49.99970306106563,55555871.2361575,55000000.0,315.680601939559,0.4970724364189392,18.30881578592944,-1.830881045661314e-07
184.8,49.99970501014795,55555869.16315579,55000000.0,313.6076002344489,0.4970724183166166,18.30881511369336,-1.818839620026935e-07
184.9,49.99970694623537,55555867.10398497,55000000.0,311.5484294146299,0.4970724003350628,18.30881444594219,-1.806878738852546e-07
185.0,49.99970886942414,55555865.05854321,55000000.0,309.5029876455665,0.4970723824733878,18.30881378264287,-1.794997817050614e-07
185.1,49.99971077981029,55555863.02672887,55000000.0,307.4711733087897,0.4970723647307039,18.30881312376244,-1.783196288407396e-07
185.2,49.99971267748964,55555861.00844051,55000000.0,305.4528849497437,0.4970723471061252,18.30881246926801,-1.771473564504689e-07
185.3,49.99971456255777,55555859.00357697,55000000.0,303.4480214118958,0.4970723295987678,18.30881181912675,-1.759829048042505e-07
185.4,49.99971643511017,55555857.01203723,55000000.0,301.4564816728234,0.4970723122077491,18.30881117330591,-1.748262199452455e-07
185.5,49.99971829524203,55555855.03372059,55000000.0,299.4781650304794,0.4970722949321887,18.30881053177279,-1.736772407001652e-07
185.6,49.99972014304848,55555853.06852635,55000000.0,297.512970790267,0.4970722777712077,18.30880989449475,-1.72535912890126e-07
185.7,49.99972197862441,55555851.11635407,55000000.0,295.5607985109091,0.4970722607239286,18.30880926143922,-1.714021765630847e-07
185.8,49.99972380206462,55555849.1771035,55000000.0,293.6215479373932,0.4970722437894753,18.30880863257367,-1.702759768740236e-07
185.9,49.99972561346367,55555847.25067451,55000000.0,291.6951189488173,0.4970722269669732,18.30880800786561,-1.691572537598773e-07
186.0,49.99972741291612,55555845.33696711,55000000.0,289.7814115509391,0.4970722102555488,18.30880738728262,-1.680459524866507e-07
186.1,49.99972920051629,55555843.43588153,55000000.0,287.8803259655833,0.4970721936543298,18.30880677079232,-1.669420148786571e-07
186.2,49.99973097635847,55555841.54731801,55000000.0,285.9917624518275,0.4970721771624451,18.30880615836236,-1.658453858688347e-07
186.3,49.99973274053677,55555839.67117696,55000000.0,284.1156213954091,0.4970721607790244,18.30880554996042,-1.647560057271846e-07
186.4,49.99973449314526,55555837.80735871,55000000.0,282.2518031522632,0.4970721445031986,18.30880494555423,-1.636738199417564e-07
186.5,49.9997362342779,55555835.95576411,55000000.0,280.4002085477114,0.497072128334099,18.30880434511154,-1.625987702258413e-07
