time,frequency,mechanicalPower,electricalDemand,powerImbalance,gateOpening,waterFlow,der(actuator.y)
260.2,50.00051882867302,55555003.85970896,55000000.0,-551.6958465948701,0.4970648618953016,18.30853450621347,3.201901465077484e-07
260.3,50.00051539266636,55555007.51362209,55000000.0,-548.0419334694743,0.4970648938032018,18.30853569111953,3.180691952042736e-07
260.4,50.00051197945763,55555011.14329345,55000000.0,-544.4122621119022,0.4970649254993988,18.3085368681641,3.159623118698107e-07
260.5,50.00050858889009,55555014.74888905,55000000.0,-540.806666508317,0.4970649569853432,18.30853803740102,3.138694021354027e-07
260.6,50.00050522080767,55555018.33057418,55000000.0,-537.2249813750386,0.4970649882624787,18.30853919888391,3.117903716320924e-07
260.7,50.00050187505509,55555021.88851318,55000000.0,-533.6670423820615,0.4970650193322417,18.30854035266609,3.097251245476329e-07
260.8,50.00049855147771,55555025.42286966,55000000.0,-530.1326858997345,0.4970650501960625,18.30854149880065,3.076735706208922e-07
260.9,50.00049524992163,55555028.93380643,55000000.0,-526.6217491328716,0.497065080855364,18.30854263734043,3.056356149278017e-07
261.0,50.0004919702336,55555032.42148557,55000000.0,-523.1340699866414,0.4970651113115628,18.30854376833802,3.03611165208828e-07
261.1,50.00048871226104,55555035.88606844,55000000.0,-519.669487118721,0.4970651415660692,18.30854489184576,3.016001315359063e-07
261.2,50.00048547585206,55555039.32771564,55000000.0,-516.2278399243951,0.4970651716202868,18.30854600791577,2.996024193180347e-07
261.3,50.00048226085535,55555042.74658699,55000000.0,-512.8089685663581,0.4970652014756133,18.30854711659992,2.976179400704382e-07
261.4,50.00047906712028,55555046.14284173,55000000.0,-509.4127138331532,0.4970652311334401,18.30854821794987,2.956466018666504e-07
261.5,50.00047589449678,55555049.51663828,55000000.0,-506.0389172807336,0.4970652605951526,18.30854931201706,2.936883176651861e-07
261.6,50.00047274283546,55555052.86813439,55000000.0,-502.6874211654067,0.4970652898621303,18.30855039885267,2.917429947624228e-07
261.7,50.00046961198744,55555056.19748726,55000000.0,-499.3580683022738,0.4970653189357471,18.30855147850772,2.898105457838085e-07
261.8,50.00046650180447,55555059.50485331,55000000.0,-496.0507022514939,0.4970653478173711,18.30855255103298,2.878908821335457e-07
261.9,50.00046341213883,55555062.79038838,55000000.0,-492.7651671841741,0.4970653765083651,18.30855361647903,2.859839148827703e-07
262.0,50.00046034284336,55555066.0542476,55000000.0,-489.501307964325,0.4970654050100859,18.30855467489625,2.840895593214654e-07
262.1,50.00045729377147,55555069.29658562,55000000.0,-486.2589699402452,0.4970654333238858,18.30855572633481,2.82207724411343e-07
262.2,50.00045426477703,55555072.51755632,55000000.0,-483.0379992350936,0.4970654614511111,18.30855677084468,2.803383263305648e-07
262.3,50.00045125571449,55555075.71731318,55000000.0,-479.8382423818111,0.4970654893931038,18.30855780847568,2.784812765943556e-07
262.4,50.00044826791543,55555078.89459212,55000000.0,-476.6609634384513,0.4970655171386199,18.30855883881285,2.766370130746765e-07
262.5,50.00044530086083,55555082.04990447,55000000.0,-473.5056510940194,0.4970655446921812,18.30855986202338,2.748053158363462e-07
262.6,50.00044235358514,55555085.1841903,55000000.0,-470.3713652566075,0.497065572062113,18.30856087841498,2.729858101790938e-07
262.7,50.0004394259602,55555088.29758581,55000000.0,-467.2579697519541,0.4970655992496056,18.30856188803184,2.711784178321963e-07
262.8,50.00043651785877,55555091.39022627,55000000.0,-464.1653292924166,0.497065626255841,18.30856289091785,2.693830603028857e-07
262.9,50.00043362915454,55555094.46224604,55000000.0,-461.0933095216751,0.4970656530819926,18.30856388711657,2.675996587653273e-07
263.0,50.00043075972204,55555097.51377849,55000000.0,-458.0417770668864,0.4970656797292257,18.30856487667128,2.658281365031101e-07
263.1,50.00042790943675,55555100.54495613,55000000.0,-455.0105994269252,0.4970657061986971,18.30856585962493,2.64068416022667e-07
263.2,50.00042507817502,55555103.55591036,55000000.0,-451.999645203352,0.4970657324915556,18.30856683602017,2.623204208296315e-07
263.3,50.00042226581408,55555106.54677174,55000000.0,-449.0087838172913,0.497065758608942,18.30856780589935,2.605840735414588e-07
263.4,50.00041947223198,55555109.51767003,55000000.0,-446.0378855317831,0.4970657845519885,18.30856876930454,2.588593034369424e-07
263.5,50.00041669730772,55555112.46873382,55000000.0,-443.0868217423558,0.4970658103218201,18.30856972627747,2.571460304690021e-07
263.6,50.00041394092109,55555115.40009093,55000000.0,-440.1554646342993,0.4970658359195532,18.30857067685961,2.554441833613197e-07
263.7,50.00041120295276,55555118.31186832,55000000.0,-437.2436872348189,0.4970658613462967,18.30857162109214,2.537536877289526e-07
263.8,50.00040848328425,55555121.20419206,55000000.0,-434.3513634949923,0.4970658866031512,18.30857255901592,2.520744699641142e-07
263.9,50.00040578179789,55555124.07718707,55000000.0,-431.4783684909344,0.4970659116912105,18.30857349067155,2.504064576802634e-07
264.0,50.00040309837689,55555126.93097772,55000000.0,-428.6245778426528,0.4970659366115598,18.30857441609932,2.487495768255243e-07
264.1,50.00040043290521,55555129.76568738,55000000.0,-425.789868183434,0.4970659613652772,18.30857533533926,2.47103758344025e-07
264.2,50.00039778526769,55555132.58143847,55000000.0,-422.9741170927882,0.4970659859534331,18.30857624843112,2.454689280728672e-07
264.3,50.00039515534994,55555135.37835281,55000000.0,-420.1772027537227,0.4970660103770903,18.30857715541436,2.438450189545804e-07
264.4,50.00039254303842,55555138.156551,55000000.0,-417.3990045562387,0.4970660346373045,18.30857805632816,2.422319560491104e-07
264.5,50.00038994822032,55555140.9161531,55000000.0,-414.6394024640322,0.4970660587351238,18.30857895121145,2.406296736312541e-07
264.6,50.00038737078368,55555143.65727807,55000000.0,-411.8982774913311,0.4970660826715891,18.30857984010285,2.390380989814034e-07
264.7,50.00038481061728,55555146.38004432,55000000.0,-409.1755112409592,0.4970661064477341,18.30858072304075,2.374571662633329e-07
264.8,50.00038226761071,55555149.08456927,55000000.0,-406.4709862917662,0.4970661300645852,18.30858160006326,2.358868048668583e-07
264.9,50.00037974165431,55555151.77096955,55000000.0,-403.7845860049129,0.497066153523162,18.30858247120822,2.343269471793974e-07
265.0,50.00037723263917,55555154.43936101,55000000.0,-401.1161945536733,0.4970661768244768,18.30858333651322,2.327775258104126e-07
265.1,50.00037474045718,55555157.08985873,55000000.0,-398.4656968265772,0.497066199969535,18.30858419601558,2.312384734803885e-07
265.2,50.0003722650009,55555159.72257686,55000000.0,-395.8329787030816,0.4970662229593352,18.30858504975238,2.297097252412783e-07
265.3,50.00036980616372,55555162.33762889,55000000.0,-393.2179266735911,0.4970662457948691,18.30858589776043,2.281912121482321e-07
265.4,50.00036736383971,55555164.93512754,55000000.0,-390.6204280182719,0.4970662684771216,18.30858674007629,2.266828704744484e-07
265.5,50.00036493792368,55555167.5151846,55000000.0,-388.0403709635139,0.497066291007071,18.30858757673627,2.251846346057462e-07
265.6,50.00036252831116,55555170.07791128,55000000.0,-385.4776442795992,0.4970663133856889,18.30858840777644,2.236964392610119e-07
265.7,50.00036013489842,55555172.62341808,55000000.0,-382.9321374818683,0.4970663356139401,18.30858923323263,2.22218219714243e-07
265.8,50.0003577575824,55555175.15181443,55000000.0,-380.4037411287427,0.4970663576927835,18.30859005314042,2.207499119055711e-07
265.9,50.00035539626074,55555177.66320943,55000000.0,-377.8923461288214,0.4970663796231708,18.30859086753515,2.192914535514845e-07
266.0,50.00035305083183,55555180.15771108,55000000.0,-375.397844478488,0.497066401406048,18.30859167645192,2.17842779259847e-07
266.1,50.00035072119467,55555182.63542699,55000000.0,-372.9201285690069,0.4970664230423542,18.3085924799256,2.164038278573699e-07
266.2,50.000348407249,55555185.09646367,55000000.0,-370.459091886878,0.4970664445330227,18.30859327799083,2.149745358392963e-07
266.3,50.00034610889519,55555187.54092724,55000000.0,-368.0146283209324,0.4970664658789804,18.30859407068202,2.135548421433597e-07
266.4,50.00034382603432,55555189.96892303,55000000.0,-365.586632527411,0.4970664870811481,18.30859485803333,2.12144684264004e-07
266.5,50.0003415585681,55555192.38055568,55000000.0,-363.1749998778105,0.4970665081404405,18.30859564007875,2.10744001583052e-07
266.6,50.00033930639888,55555194.77592901,55000000.0,-360.7796265482903,0.4970665290577665,18.30859641685198,2.093527334823264e-07
266.7,50.0003370694297,55555197.15514629,55000000.0,-358.4004092663527,0.4970665498340288,18.30859718838653,2.079708185664941e-07
266.8,50.0003348475642,55555199.51831004,55000000.0,-356.0372455194592,0.4970665704701246,18.30859795471571,2.065981966614672e-07
266.9,50.00033264070668,55555201.86552221,55000000.0,-353.6900333538651,0.4970665909669447,18.30859871587258,2.052348093695144e-07
267.0,50.00033044876203,55555204.19688405,55000000.0,-351.3586715087295,0.4970666113253749,18.30859947189002,2.038805972937041e-07
267.1,50.00032827163582,55555206.51249613,55000000.0,-349.0430594310164,0.4970666315462948,18.30860022280067,2.02535498705636e-07
267.2,50.00032610923417,55555208.81245833,55000000.0,-346.743097230792,0.4970666516305786,18.30860096863698,2.01199457761092e-07
267.3,50.00032396146383,55555211.09686998,55000000.0,-344.4586855843663,0.4970666715790949,18.30860170943118,1.998724146190511e-07
267.4,50.00032182823215,55555213.36582975,55000000.0,-342.1897258087993,0.4970666913927069,18.30860244521531,1.985543117699606e-07
267.5,50.00031970944706,55555215.61943574,55000000.0,-339.9361198246479,0.4970667110722722,18.3086031760212,1.972450927034686e-07
267.6,50.00031760501711,55555217.85778527,55000000.0,-337.6977702900767,0.4970667306186434,18.30860390188049,1.959446980226431e-07
267.7,50.00031551485138,55555220.08097528,55000000.0,-335.4745802804828,0.4970667500326675,18.30860462282462,1.946530717722439e-07
267.8,50.00031343885954,55555222.28910191,55000000.0,-333.266453653574,0.4970667693151865,18.30860533888482,1.933701584411196e-07
267.9,50.00031137695184,55555224.48226079,55000000.0,-331.0732947662473,0.4970667884670371,18.30860605009214,1.920958994094946e-07
268.0,50.00030932903906,55555226.66054697,55000000.0,-328.8950085937977,0.4970668074890507,18.30860675647746,1.908302408315521e-07
268.1,50.00030729503256,55555228.82405494,55000000.0,-326.7315006181598,0.4970668263820543,18.30860745807144,1.895731254197841e-07
268.2,50.00030527484424,55555230.97287856,55000000.0,-324.5826769992709,0.4970668451468693,18.30860815490458,1.883244973299725e-07
268.3,50.00030326838648,55555233.10711119,55000000.0,-322.4484443739057,0.4970668637843127,18.30860884700718,1.870843041595904e-07
268.4,50.00030127557228,55555235.22684556,55000000.0,-320.3287099972367,0.4970668822951963,18.30860953440937,1.858524890652191e-07
268.5,50.00029929631509,55555237.33217385,55000000.0,-318.2233817130327,0.4970669006803274,18.30861021714111,1.846289983120641e-07
268.6,50.00029733052894,55555239.42318785,55000000.0,-316.1323677077889,0.4970669189405083,18.30861089523217,1.834137767220412e-07
268.7,50.00029537812831,55555241.49997868,55000000.0,-314.0555768832564,0.497066937076537,18.30861156871216,1.822067708934227e-07
268.8,50.0002934390282,55555243.56263687,55000000.0,-311.9929186925292,0.4970669550892067,18.3086122376105,1.810079282016375e-07
268.9,50.00029151314413,55555245.61125255,55000000.0,-309.9443030133843,0.4970669729793062,18.30861290195646,1.798171940237125e-07
269.0,50.00028960039209,55555247.64591537,55000000.0,-307.9096401929855,0.49706699074762,18.30861356177915,1.786345167342773e-07
269.1,50.00028770068857,55555249.6667143,55000000.0,-305.8888412639499,0.4970670083949277,18.3086142171075,1.77459840600136e-07
269.2,50.00028581395049,55555251.673738,55000000.0,-303.8818175569177,0.4970670259220052,18.3086148679703,1.762931163273862e-07
269.3,50.00028394009529,55555253.66707462,55000000.0,-301.888480938971,0.4970670433296238,18.30861551439615,1.751342900702113e-07
269.4,50.00028207904086,55555255.64681159,55000000.0,-299.9087439700961,0.4970670606185508,18.30861615641352,1.739833097591514e-07
269.5,50.00028023070553,55555257.61303619,55000000.0,-297.9425193667412,0.4970670777895492,18.30861679405073,1.728401229916798e-07
269.6,50.00027839500806,55555259.56583505,55000000.0,-295.9897205084562,0.4970670948433779,18.30861742733592,1.717046809179834e-07
269.7,50.00027657186772,55555261.50529434,55000000.0,-294.0502612218261,0.4970671117807922,18.30861805629711,1.705769293591786e-07
269.8,50.0002747596513,55555263.43298991,55000000.0,-292.1225656494498,0.4970671286150298,18.30861868143248,1.694564637499951e-07
269.9,50.00027295842616,55555265.34886573,55000000.0,-290.2066898345947,0.4970671453456539,18.30861930272513,1.683432688803777e-07
270.0,50.00027116931634,55555267.25185173,55000000.0,-288.3037038296461,0.4970671619637301,18.30861991983814,1.672375657957303e-07
270.1,50.00026939223533,55555269.14203963,55000000.0,-286.4135159254074,0.497067178470058,18.30862053280121,1.661393023155711e-07
270.2,50.00026762709682,55555271.01952071,55000000.0,-284.5360348448157,0.4970671948654349,18.30862114164394,1.650484299231536e-07
270.3,50.00026587381483,55555272.88438594,55000000.0,-282.671169616282,0.4970672111506554,18.30862174639584,1.639648936624383e-07
270.4,50.00026413230356,55555274.73672608,55000000.0,-280.8188294842839,0.497067227326512,18.30862234708635,1.628886430182774e-07
270.5,50.00026240247744,55555276.5766317,55000000.0,-278.9789238646626,0.4970672433937953,18.30862294374482,1.618196272534789e-07
270.6,50.00026068425117,55555278.40419306,55000000.0,-277.1513625010848,0.4970672593532934,18.30862353640052,1.607577923001813e-07
270.7,50.00025897753958,55555280.2195003,55000000.0,-275.3360552564263,0.4970672752057925,18.30862412508266,1.597030911959507e-07
270.8,50.00025728225776,55555282.0226431,55000000.0,-273.5329124554992,0.4970672909520769,18.30862470982035,1.586554708721266e-07
270.9,50.00025559832098,55555283.81371126,55000000.0,-271.741844303906,0.4970673065929289,18.30862529064267,1.576148801474275e-07
271.0,50.00025392564468,55555285.59279405,55000000.0,-269.9627615138888,0.4970673221291291,18.30862586757858,1.56581269283862e-07
271.1,50.0002522641445,55555287.35998079,55000000.0,-268.1955747678876,0.4970673375614563,18.30862644065704,1.555545872111708e-07
271.2,50.00025061373623,55555289.11536045,55000000.0,-266.4401951059699,0.4970673528906878,18.30862700990689,1.545347844134071e-07
271.3,50.00024897433584,55555290.85902193,55000000.0,-264.6965336278081,0.4970673681175991,18.30862757535694,1.535218100423563e-07
271.4,50.00024734585946,55555292.59105387,55000000.0,-262.9645016863942,0.4970673832429643,18.30862813703594,1.525156124726479e-07
271.5,50.0002457282233,55555294.31154491,55000000.0,-261.2440106496215,0.4970673982675561,18.3086286949726,1.515161447418478e-07
271.6,50.00024412134378,55555296.02058325,55000000.0,-259.5349723100662,0.4970674131921457,18.30862924919556,1.505233552245855e-07
271.7,50.00024252513743,55555297.71825723,55000000.0,-257.8372983261943,0.4970674280175035,18.30862979973342,1.495371934057133e-07
271.8,50.00024093952086,55555299.40465493,55000000.0,-256.150900632143,0.4970674427443981,18.30863034661474,1.485576115456411e-07
271.9,50.00023936441087,55555301.07986429,55000000.0,-254.4756912663579,0.4970674573735973,18.30863088986803,1.475845573528645e-07
272.0,50.00023779972425,55555302.74397324,55000000.0,-252.8115823194385,0.4970674719058678,18.30863142952179,1.46617984420061e-07
272.1,50.00023624537798,55555304.39706941,55000000.0,-251.1584861502051,0.4970674863419755,18.30863196560443,1.456578408998155e-07
272.2,50.0002347012891,55555306.03924058,55000000.0,-249.5163149759173,0.4970675006826849,18.30863249814439,1.447040787194709e-07
272.3,50.00023316737471,55555307.67057422,55000000.0,-247.88498134166,0.4970675149287603,18.30863302717003,1.437566486961472e-07
272.4,50.00023164355199,55555309.29115778,55000000.0,-246.264397777617,0.4970675290809651,18.3086335527097,1.428155007587861e-07
272.5,50.00023012973818,55555310.90107876,55000000.0,-244.6544767990708,0.4970675431400617,18.30863407479175,1.418805869457529e-07
272.6,50.00022862585057,55555312.50042441,55000000.0,-243.0551311522722,0.4970675571068124,18.30863459344447,1.409518585182568e-07
272.7,50.00022713180654,55555314.08928206,55000000.0,-241.4662735015154,0.4970675709819786,18.30863510869615,1.400292636288825e-07
272.8,50.00022564752341,55555315.66773894,55000000.0,-239.8878166154027,0.4970675847663214,18.30863562057507,1.391127565364414e-07
272.9,50.00022417291864,55555317.23588226,55000000.0,-238.3196732997894,0.4970675984606017,18.30863612910949,1.382022859486298e-07
273.0,50.0002227079096,55555318.79379918,55000000.0,-236.761756375432,0.4970676120655799,18.30863663432765,1.372978052360807e-07
273.1,50.00022125241377,55555320.34157677,55000000.0,-235.2139787897468,0.4970676255820163,18.3086371362578,1.363992636616018e-07
