area,nadir_Hz,nadir_time_s,final_Hz,max_drop_Hz
NO1,49.885806575462226,7.550000000000001,49.964970140406066,0.11419342453777404
NO2,49.64343798349708,6.4,49.96769170962035,0.3565620165029202
NO3,49.97109424415069,57.75,49.973185325001594,0.028905755849308434
NO4,49.974251244225336,59.900000000000006,49.97425203576781,0.02574875577466429
NO5,49.857302742146246,12.25,49.970630653735405,0.14269725785375442
SE1,49.97369481296771,60.0,49.97369481296771,0.026305187032292565
SE2,49.97197802021897,59.400000000000006,49.97275624331621,0.02802197978103038
SE3,49.968484120153626,57.85,49.97321273058832,0.03151587984637416
SE4,49.97036996826387,59.35,49.9719604993548,0.029630031736132878
FI1,49.973742085690205,60.0,49.973742085690205,0.026257914309795183
